method,text_prompt,test/clip_score,test/clip_directional_score,val/lpips,val/psnr,val/ssim
dge,"wooden table, detailed texture, sunset over garden, outdoor, warm atmosphere, sunlight from front",,,0.1062164306640625,23.17720413208008,0.7026479840278625
dge,"flowers, detailed petals, sunshine, outdoor, warm atmosphere, sunlight from front",0.2267412543296814,0.0924155637621879,0.1114654541015625,22.178232192993164,0.7263442277908325
dge,"table, detailed surface, warm atmosphere, indoor, sunlight from front",0.1706917285919189,0.0625893771648407,0.0344886779785156,34.72113037109375,0.9362475275993348
dge,"bicycle, detailed structure, sunshine, outdoor, warm atmosphere, sunlight from front",0.2397314608097076,0.0759965926408767,0.100341796875,24.39501953125,0.7783263921737671
dge,"lego, detailed structure, indoor, warm atmosphere, sunlight from front",0.2312522381544113,0.0106497062370181,0.0494117736816406,28.471677780151367,0.8547673225402832
dge,"flowers, detailed petals, sunshine, outdoor, warm atmosphere, sunlight from left",0.2379246205091476,0.0947381854057312,0.1127471923828125,22.3561954498291,0.7216799259185791
dge,"television, detailed screen, shadow from window, indoor, sunlight from left",0.2089231759309768,0.0380614250898361,0.0406360626220703,37.03226852416992,0.98431658744812
dge,"bicycle, detailed structure, sunshine, outdoor, warm atmosphere, sunlight from bottom",0.2461735308170318,0.0885828509926796,0.1013565063476562,24.13750648498535,0.7731080055236816
dge,"table, detailed surface, warm atmosphere, indoor, sunlight from top",0.1774675101041793,0.0361998528242111,0.0468006134033203,35.4401741027832,0.9475687146186828
dge,"television, detailed screen, shadow from window, indoor, sunlight from bottom",0.1975962221622467,0.0279533844441175,0.0399532318115234,37.13401794433594,0.9828860759735109
dge,"bonsai, detailed leaves, sunshine, indoor, natural atmosphere, sunlight from bottom",0.2854973375797272,0.064455009996891,0.1448211669921875,25.25237274169922,0.7273824214935303
dge,"stamp, detailed texture, natural lighting, outdoor, sunlight from bottom",0.188851773738861,0.0213541183620691,0.1148605346679687,23.469301223754883,0.7378063201904297
dge,"tree, detailed leaves, sunshine, outdoor, warm atmosphere, sunlight from bottom",0.2271489351987838,0.0982588604092598,0.1121139526367187,22.918914794921875,0.7342451810836792
dge,"wooden table, detailed texture, sunset over garden, outdoor, warm atmosphere, sunlight from right",,,0.1073989868164062,23.21091651916504,0.7002878785133362
dge,"wooden table, detailed texture, sunset over garden, outdoor, warm atmosphere, sunlight from bottom",,,0.10760498046875,23.416017532348636,0.7037044167518616
